,company,description,location,post_date,salary,title,temp,city,temp1,state
432,Chegg,"As a Senior Data Scientist, you will work with an interdisciplinary group to improve Chegg’s revenue driving technology initiatives....","New York, NY",30 days ago,,"Sr. Data Scientist, Learning Services","[u'New York', u' NY']",New York,[u' NY'],NY
433,Sage Bionetworks,"Experience working with high dimensional genomic data, such as sequencing data, gene expression, genotype, CNV, sequence and/or data from other high throughput...","Seattle, WA",7 days ago,,"Scientist and Senior Scientist, Computational Oncology","[u'Seattle', u' WA']",Seattle,[u' WA'],WA
434,"The Vertex Companies, LLC.","Compile clear and correct data tables from laboratory analytical reports, field notes, and/or electronic data deliverables;...","Boston, MA",11 days ago,,Environmental Data Analyst,"[u'Boston', u' MA']",Boston,[u' MA'],MA
435,Workbridge Associates,Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,"Berkeley, CA",7 days ago,"<nobr>$120,000 - $155,000 a year</nobr>",Senior Data Scientist (Healthcare),"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
436,AdTaxi Networks,You will also work with Data Scientists and Warehouse Engineers to ensure quality of reports and analytics data....,"Denver, CO",13 days ago,,Data Quality and Reporting Analyst,"[u'Denver', u' CO']",Denver,[u' CO'],CO
437,Comcast,The Senior Data Scientist / Research Technologist will have the skills and ability to:. Cloud and/or big data systems experience....,"Sunnyvale, CA 94089",16 days ago,,Sr Data Scientist/ Research Technologist,"[u'Sunnyvale', u' CA 94089']",Sunnyvale,[u' CA 94089'],CA
438,Reed Elsevier,"Data Analysis and Reporting:. Blend data from multiple sources, which may require finding or creating a way to tie data sets together....","St. Louis, MO",27 days ago,,"Data Analyst, Education Operations","[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
439,Calsoft Labs,""" Analyze offsite analysts' judgments and identify quality issues and data patterns. The company brings together dozens of engineers, scientists and product...","Sunnyvale, CA 94086",14 days ago,,Search Analyst,"[u'Sunnyvale', u' CA 94086']",Sunnyvale,[u' CA 94086'],CA
440,National Opinion Research Center (NORC),"Ability to perform data tasks, working with a variety of SQL, NoSQL, and HDFS data stores, and preparing data for visualization....","Bethesda, MD",30+ days ago,,Senior Business Intelligence Engineer,"[u'Bethesda', u' MD']",Bethesda,[u' MD'],MD
441,Fitbit,Fitbit's anonymized health metrics give Senior Data Scientists one of the most exciting health data sets in existence....,"San Francisco, CA 94105 (Financial District area)",4 days ago,,Senior Data Scientist - Product,"[u'San Francisco', u' CA 94105 (Financial District area)']",San Francisco,[u' CA 94105 (Financial District area)'],CA
442,CTI Infotech,"Perform exploratory data analysis and data mining of healthcare claims and authorizations data. Experience in data research, data based design and sampling...","St. Louis, MO",28 days ago,,Data Scientist,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
443,Revana,"Demonstrated understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques....","Tempe, AZ",1 day ago,,Statistician Marketing,"[u'Tempe', u' AZ']",Tempe,[u' AZ'],AZ
444,UW Medical Foundation,Responsibilities include design and implementation of data sets and data visualizations; (b) database structure and efficient data accession;...,"Madison, WI",19 days ago,,Business Intelligence Analyst (IS-Data Analysis & Business I...,"[u'Madison', u' WI']",Madison,[u' WI'],WI
445,Delta Products Corporation,"Analyze market data to formulate recommendations and implement solutions. Knowledge of various methods for obtaining data (surveys, interviews, industry reports...","Fremont, CA 94538 (Irvington area)",5 days ago,,Market Research Analyst,"[u'Fremont', u' CA 94538 (Irvington area)']",Fremont,[u' CA 94538 (Irvington area)'],CA
446,Empiric Solutions,"You need experience with data modeling, algorithms, statistics, Python, R, and more.As the lead Data Scientists you will play the crucial role of analyzing this...","New York, NY",2 days ago,"<nobr>$150,000 a year</nobr>",Lead Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
447,IBM,"The Advanced Analytics Senior Data Scientist will be responsible for:. Using industry technologies, tools and data mining frameworks for data analytics...","Denver, CO 80237 (Southeastern Denver area)",21 days ago,,Advanced Analytics Senior Data Scientist,"[u'Denver', u' CO 80237 (Southeastern Denver area)']",Denver,[u' CO 80237 (Southeastern Denver area)'],CO
448,TeleTech,"Demonstrated understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques....","Tempe, AZ 85281",1 day ago,,Statistician Marketing,"[u'Tempe', u' AZ 85281']",Tempe,[u' AZ 85281'],AZ
449,Facebook,"Writing data pipelines and crafting interactive information visualizations (e.g., d3). Familiarity with any of the skills listed for scientists is a plus....","Menlo Park, CA",27 days ago,,"Engineer, Core Data Science","[u'Menlo Park', u' CA']",Menlo Park,[u' CA'],CA
450,"SomaLogic, Inc.","Use internally developed and off the shelf tools to process customer data into standard results. Monitor and manage data flow for customer samples, providing...","Boulder, CO 80301",8 days ago,,Bioinformatics Assoc. II/Sr. Assoc./Analyst/Scientist 2015-0...,"[u'Boulder', u' CO 80301']",Boulder,[u' CO 80301'],CO
451,Cray,"Familiarity and experience with data analytics in this territory. Stay abreast with big data trends, company offerings and market competition....","San Jose, CA",2 days ago,,Data Analytics Sales Representative - Western U.S.,"[u'San Jose', u' CA']",San Jose,[u' CA'],CA
452,Cherokee Nation Businesses,Keep detailed records of experimental data; Ability to analyze raw and statistical sequence and/or microsatellite data....,"Gainesville, FL",7 days ago,,Researcher III,"[u'Gainesville', u' FL']",Gainesville,[u' FL'],FL
453,SunTrust,Statistical Modeler-264681 Description • Develop or analyze statistical & quantitative models. Research best practices and new technologies. • Perform,"Atlanta, GA",14 days ago,,Statistical Modeler,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
454,Weill Cornell Medical College,"Determining inter-and intra-department work flow and data flow; The Interface Analyst will design and write customizations to resolve issues, ideally within...","New York, NY",16 days ago,,Systems Interface Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
455,NTE Mobility Partners LLC,"As the Data Scientist , you will have the opportunity to work in a hybrid role that will take ownership of multiple projects involving data analysis, data...","Dallas, TX",9 days ago,,Data Scientist,"[u'Dallas', u' TX']",Dallas,[u' TX'],TX
456,Demandbase,"As the Senior Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract...","San Francisco, CA",7 days ago,,Senior Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
457,Esurance,Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....,"San Francisco, CA",19 days ago,,Senior Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
458,Applecart,"Senior Data Scientist. We are looking for an experienced, inventive data scientist to help lead our rapidly growing start-up’s internal data science team....","New York, NY",28 days ago,,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
459,LeanTaas,LeanTaaS is looking for extraordinary data scientists to synthesize and leverage massive data sets to help radically transform data into products.....,"Santa Clara, CA",17 days ago,,Senior Data Scientist,"[u'Santa Clara', u' CA']",Santa Clara,[u' CA'],CA
460,Splash,"Experience with data visualization tools. Ability to take complex data, extract actionable insights, and communicate them in a clear and simple manner....","New York, NY 10011 (Chelsea area)",30+ days ago,,Data Scientist,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
461,Preqin,"The focus of a research analyst is on the compilation of data and written profiles, as well as the production of accurate and high quality analysis, both of...","New York, NY",22 days ago,,Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
462,Tigo,"The Advanced Analytics Manager (Senior Data Scientist)\ main responsibilities are:. Design, develop and implement data management systems of analytic frameworks...","Miami, FL",30+ days ago,,Senior Data Scientist,"[u'Miami', u' FL']",Miami,[u' FL'],FL
463,Northrop Grumman,"Assist research teams in development of complex result based approaches to problems and situations for which data is incomplete, challenging, or for which no...","Tampa, FL",12 days ago,,Intel (Data) Analyst 3/4 - AFRICOM/CENTCOM,"[u'Tampa', u' FL']",Tampa,[u' FL'],FL
464,RBC,". What is the opportunity? A role as a Quantitative Analyst in the Fixed Income and Currencies Team with a focus on researching, developing and implementing","New York, NY",3 days ago,,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
465,Limelight Networks,"Data cleaning and data munging. Work with IT teams, management and/or data scientists to determine organizational goals....","Tempe, AZ 85281",9 days ago,,Data Analyst,"[u'Tempe', u' AZ 85281']",Tempe,[u' AZ 85281'],AZ
466,Quantitative Radiology Solutions,"Test existing algorithms on radiation therapy data sets, analyze results against reference data sets, and characterize disease anomalies that affect current...","Philadelphia, PA",11 days ago,,Image Analysis Scientist,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
467,Contata Solutions,"In this position, you will get to work on leading-edge big-data platforms, applying machine-learning algorithms to analyze and augment structured and...","Minneapolis, MN 55402 (Downtown West area)",9 days ago,,Data-Analytics / Machine-Learning Developer,"[u'Minneapolis', u' MN 55402 (Downtown West area)']",Minneapolis,[u' MN 55402 (Downtown West area)'],MN
468,St. Jude Medical,"Organizes and analyzes data from experiments or design builds, and writes reports on results. We are seeking an experienced, high caliber Scientist II, Applied...","Sunnyvale, CA",14 days ago,,Scientist II,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
469,"Noblis NSP, LLC",Team members will work collaboratively with the Noblis Lead Data Analytics architects and data scientists to design and implement an offline and near real time...,"Falls Church, VA",30+ days ago,,Data Analytics Engineer,"[u'Falls Church', u' VA']",Falls Church,[u' VA'],VA
470,Equifax,"A review of output by a Senior StatisticianAnalysis across credit, fraud and insurance arenasDevelop processes for repeatable tasks, such as data extraction,...","Alpharetta, GA 30005",1 day ago,,Statistician,"[u'Alpharetta', u' GA 30005']",Alpharetta,[u' GA 30005'],GA
471,MRIGlobal,"Looking for an entry level scientist. Experience with research, sample preparation/tracking data, while gaining a....","Rockville, MD 20850",20 days ago,,"Assistant Scientist, Sample Analysis","[u'Rockville', u' MD 20850']",Rockville,[u' MD 20850'],MD
472,Macfarlane Group,"Minimum of 5 years of data analytics experience to include analyzing large data sets, data mining and providing data consultation to stakeholders....","Las Vegas, NV 89119",30+ days ago,,Data Scientist,"[u'Las Vegas', u' NV 89119']",Las Vegas,[u' NV 89119'],NV
473,The Rock Creek Group,Rock Creek is seeking a Data Scientist Intern. The candidate should possess prior academic or professional experience with data mining and/or the manipulation...,"Washington, DC 20036 (Downtown area)",30+ days ago,,Data Scientist Intern,"[u'Washington', u' DC 20036 (Downtown area)']",Washington,[u' DC 20036 (Downtown area)'],DC
474,Concordis,"ERS Data Scientists continually perform deep dives into the data to uncover new fraud patterns and business opportunities, and take the lead to move new ideas...","Bellevue, WA",28 days ago,,Data Scientist,"[u'Bellevue', u' WA']",Bellevue,[u' WA'],WA
475,"University of Maryland, Baltimore",Compile and analyze data; Skill in data management software. Skill in data analysis and statistical. Duties include performing and supervising data collection;...,"Baltimore, MD",13 hours ago,,Statistician,"[u'Baltimore', u' MD']",Baltimore,[u' MD'],MD
476,Smith & Nephew,"Responsible for development of data quality standards. Other Experience with Clinical Data Management Systems such as Oracle Clinical, Medidata, Inform or...","Memphis, TN",11 hours ago,,Statistician,"[u'Memphis', u' TN']",Memphis,[u' TN'],TN
477,Transamerica,This position will be with Aegon Asset Management (AAM) US. AAM is a leading global asset management organization with operating businesses in Continental,"Cedar Rapids, IA",28 days ago,,Research Analyst (AAM),"[u'Cedar Rapids', u' IA']",Cedar Rapids,[u' IA'],IA
478,Facebook,"Facebook is seeking a Research Scientist to join the Operations, Economics and Computation Group within the Core Data Science team....","Menlo Park, CA",30+ days ago,,"Research Scientist, PhD University Grad","[u'Menlo Park', u' CA']",Menlo Park,[u' CA'],CA
479,Veear Projects,"Mentor other data scientists and engineers. Our client is seeking for Remote/Onsite Data Scientist - San Francisco, CA....","San Francisco, CA",10 hours ago,,"Remote/Onsite Data Scientist - San Francisco, CA","[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
480,VTS,"As a Principal Data Scientist, you will... Perform hands-on data exploration and modeling over big data technologies and conceptualize new / innovative ways to...","New York, NY",30+ days ago,,Principal Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
481,Amazon Robotics LLC,Superior communication and data presentation skills. As a Research Scientist in the Amazon Robotics Movement Team you will develop algorithms to coordinate the...,"North Reading, MA",15 hours ago,,Research Scientist - Movement Team,"[u'North Reading', u' MA']",North Reading,[u' MA'],MA
482,American Family Insurance,"R433 Statistical Research Scientist (Open). Explores data using a variety of advanced statistical (e.g., data mining) techniques to answer business questions or...","Madison, WI",9 days ago,,Statistical Research Scientist,"[u'Madison', u' WI']",Madison,[u' WI'],WI
483,Capital One,"Senior Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data -Integrating with external data sources...","New York, NY",18 days ago,,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
484,Legislative Branch,"Or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health...","Washington, DC",20 days ago,"<nobr>$81,878 - $121,525 a year</nobr>",Senior Statistician,"[u'Washington', u' DC']",Washington,[u' DC'],DC
485,Pacific Northwest National Laboratory,"These methods and software ensure \(i\) the right type, quality, and quantity of data are gathered, and \(ii\) the data subject to uncertainty are properly...","Richland, WA",8 days ago,,Statistical Modeling and Experimental Design Research Scient...,"[u'Richland', u' WA']",Richland,[u' WA'],WA
486,Ancestry,Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....,"San Francisco, CA",20 days ago,,Senior Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
487,Legislative Branch,About the Agency GAO's work is designed to address four common goals: - to help the Congress address current and emerging challenges to the well-being and,"Washington, DC",20 days ago,"<nobr>$81,878 - $121,525 a year</nobr>",Senior Mathematical Statistician,"[u'Washington', u' DC']",Washington,[u' DC'],DC
488,OnDeck,"As a Senior Data Scientist at OnDeck, you will:. Strong communication and data visualization skills; Expertise in statistical modeling, machine learning, data...","New York, NY",30+ days ago,,Senior Data Scientist - Marketing Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY
489,Experian,Job Description - Data Scientist Senior (161273) Experian is an Equal Opportunity Employer Data Scientist Senior - Job Number:....,"Costa Mesa, CA",19 days ago,,Data Scientist Senior,"[u'Costa Mesa', u' CA']",Costa Mesa,[u' CA'],CA
490,Knewton,"Work with and learn from the world's best engineers and data scientists. Experience with big data processing, such as Hadoop or Spark, and NoSQL databases such...","New York, NY 10011 (Chelsea area)",1 hour ago,,Senior Software Engineer - Learning Analytics,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
491,"Truven Health Analytics, Inc. & Simpler Consulting","However, their work includes the entire process of data analysis, including the data cleansing, data preparation and visualization of results....","Ann Arbor, MI 48108",8 days ago,,Data Miner Sr,"[u'Ann Arbor', u' MI 48108']",Ann Arbor,[u' MI 48108'],MI
492,"Sysomos, L.P.","Bonus points for implementation of Big Data and/or Streaming data analytics or visualization. Advanced knowledge of data mining, machine learning algorithms,...","Sunnyvale, CA",5 days ago,,Principal Data Scientist,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
493,"Amazon Web Services, Inc.","Computer Science fundamentals in object-oriented design, data structures, high-performance computing and GPGPU programming....","Palo Alto, CA",27 days ago,,Sr. Software Engineer – Emerging AWS Machine Learning Platfo...,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
494,Western Union,"2-5 years of experience in Data Scientist, customer analytics, data mining and. In this role, you will be a Data Scientist, and be responsible for analyzing US...","Englewood, CO 80112",21 days ago,,"Manager, Customer Analytics/Data Scientist","[u'Englewood', u' CO 80112']",Englewood,[u' CO 80112'],CO
495,Anki,"Build and execute hiring plans, and maintain a stellar staff including product analysts, data engineers, and data scientists....","San Francisco, CA",5 days ago,,Senior Director of Analytics,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
496,Direct Client,Categorical Data Analysis. Statistical Analysis / Data Science (65%):. Principal Statistical Analyst / Data Scientist is the most technically advanced role in...,"Bloomingdale, IL",8 days ago,,Principal Statistical Analyst / Data Scientist,"[u'Bloomingdale', u' IL']",Bloomingdale,[u' IL'],IL
497,HireStarter,"Extracting data from various applications and systems, in particular, large relational databases. Advanced degree in Computer Science, Data Science, Mathematics...","Austin, TX 78751 (Hyde Park area)",19 days ago,,Data Scientist (customer focused),"[u'Austin', u' TX 78751 (Hyde Park area)']",Austin,[u' TX 78751 (Hyde Park area)'],TX
498,MONSANTO,"Work closely with Support Scientists and Commercial Development Breeders to ensure that germplasm recommendations are optimized based on all plant health, and...","St. Louis, MO",6 days ago,,Plant Health Research Associate,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
499,"The Goshen Group, LLC","Drawing from multiple data sources, the Data Scientist will develop data products and customized solutions including predictive models, optimization algorithms,...","Ambler, PA",27 days ago,,Data Scientist,"[u'Ambler', u' PA']",Ambler,[u' PA'],PA
500,Resonate,"Extract, aggregate and synthesize data from diverse structured and unstructured data sources. We are looking for a highly talented and motivated Senior Data...","Reston, VA",30+ days ago,,Sr. Data Scientist,"[u'Reston', u' VA']",Reston,[u' VA'],VA
501,Quantifind,Our Data Scientists are tasked with qualitatively understanding that data and then designing algorithms and processes to make it useful....,"Menlo Park, CA",30+ days ago,,Jr Data Scientist,"[u'Menlo Park', u' CA']",Menlo Park,[u' CA'],CA
502,ADP,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...","Roseland, NJ 07068",8 days ago,,Business Systems Analyst (IVR),"[u'Roseland', u' NJ 07068']",Roseland,[u' NJ 07068'],NJ
503,Identified Talent Solutions,"Translate data into business insights. Conduct data exploration, statistical analysis, and modelling. Provide feedback to management regarding data related...","Kansas City, MO",30 days ago,"<nobr>$110,000 a year</nobr>",Data Scientist -Translate data into business insights,"[u'Kansas City', u' MO']",Kansas City,[u' MO'],MO
504,Ambry Genetics,The Client Data Analysis Associate’s goal is to understand fully the methods involved in assisting with client requests;...,"Aliso Viejo, CA 92656",30+ days ago,,Client Data Analysis Associate,"[u'Aliso Viejo', u' CA 92656']",Aliso Viejo,[u' CA 92656'],CA
505,Tate & Lyle,"Use LIMS data management (or equivalent), including sample login and data reporting. Tate & Lyle’s Global Operations Business Unit has an Analytical Scientist...","Decatur, IL 62521",14 days ago,,Scientist,"[u'Decatur', u' IL 62521']",Decatur,[u' IL 62521'],IL
506,MD ANDERSON CANCER CENTER,"Key Functions of the Research Scientist in Cancer Biology Organizes Scientific Research Projects Plans, organizes, coordinates, directs and participates in...","Houston, TX",1 day ago,,Research Scientist- Cancer Biology,"[u'Houston', u' TX']",Houston,[u' TX'],TX
507,Virginia Tech,The candidate will also need to be able to analyze and interpret data to assist VTCRI faculty and staff with experimental design and data interpretation....,Virginia,23 hours ago,,Research Scientist,[u'Virginia'],Virginia,[],
508,Department of Defense,"Forces to communicate globally through voice, video, and data transmission. The computer scientist develops new and improved concepts, principles, and...","Fort Meade, MD",9 days ago,"<nobr>$47,262 - $61,441 a year</nobr>",Pathways Recent Graduate Computer Scientist,"[u'Fort Meade', u' MD']",Fort Meade,[u' MD'],MD
509,The MathWorks,Experience with analyzing and visualizing engineering or scientific data. In this role you will contribute your expertise in Data Analytics and spearhead the...,"Sunnyvale, CA",13 days ago,,Senior Technical Consultant - Data Scientist (Analytics),"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
510,Santander Consumer USA,"Demonstrated ability to use SQL and SAS to extract data from multiple data sources. Actively participates in the development of data science tools to merge,...","Dallas, TX",30+ days ago,,Statistical Programmer,"[u'Dallas', u' TX']",Dallas,[u' TX'],TX
511,GE Renewable Energy,"Extensive hands on experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing /...","Schenectady, NY",30+ days ago,,Senior Data Scientist – Renewable Energy,"[u'Schenectady', u' NY']",Schenectady,[u' NY'],NY
512,World Vision Inc.,Scrutinize large data sets for data integrity and effectively identify and treat outliers and data anomalies. Serve as a subject matter expert on web analytics...,"Federal Way, WA",30+ days ago,,Digital Data Scientist I,"[u'Federal Way', u' WA']",Federal Way,[u' WA'],WA
513,Workplace Alaska,"Are you interested in analyzing public health data to inform research and drive practice? Experience using statistical analysis software, such as SAS or SPSS,...","Juneau, AK",13 hours ago,"<nobr>$3,553 - $4,355 a month</nobr>",Research Analyst I/II,"[u'Juneau', u' AK']",Juneau,[u' AK'],AK
514,Wayfair,"Experienced as both a software engineer using big data sets and a data scientist, mining data sets. The mission of a Data Science analyst is to unlock deep...","Boston, MA 02116 (South End area)",17 days ago,,Director of Data Science,"[u'Boston', u' MA 02116 (South End area)']",Boston,[u' MA 02116 (South End area)'],MA
515,"Illumina, Inc.","Strong data analysis skills, ability to interpret and draw conclusions from vast amounts of data. As an Associate Scientist at Illumina in Reagents and...","San Diego, CA",12 days ago,,Associate Scientist 1 – Reagents & Consumables,"[u'San Diego', u' CA']",San Diego,[u' CA'],CA
516,Uber Technologies,The Uber Advanced Technology Center is the Pittsburgh division of the elite Uber Engineering Team; a high-performance culture marked by fearlessness and hyper,"Pittsburgh, PA",30+ days ago,,Data Scientist,"[u'Pittsburgh', u' PA']",Pittsburgh,[u' PA'],PA
517,Space-Time Insight,"The Data Scientist will also own the roadmap for analytic functionality in specific areas. In particular, the data scientist will focus on Big Data Scala...","San Mateo, CA",30+ days ago,,Sr. Data Scientist,"[u'San Mateo', u' CA']",San Mateo,[u' CA'],CA
518,StrategyWise,"This position is a career-development track to Senior Data Scientist. Technical expertise regarding data models, data mining and segmentation techniques....","Birmingham, AL",14 days ago,,Data Analyst/Machine Learning Specialist,"[u'Birmingham', u' AL']",Birmingham,[u' AL'],AL
519,Walmart eCommerce,"Work closely with the Data Engineering & Automation team to help acquire, analyze, clean, and structure data to ensure foundational data is in place for...","Sunnyvale, CA",5 days ago,,"Director, Data Science","[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
520,Booz Allen Hamilton,Experience with data manipulation. Experience with analyzing large scale data sets. Monitor and assess data integrity and accuracy using commonly accepted...,"Atlanta, GA",5 days ago,,Health Statistician,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
521,"Ferguson Consulting, Inc","Build services, deploy models, algorithms, perform model training and provide tools to make our infrastructure more accessible to all our data scientists....","St. Louis, MO",30+ days ago,,Big Data Analytics Developer,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
522,"LW Consulting, Inc",Candidate will have necessary subject matter expertise to effectively manage projects within a given practice area and experience analyzing large amounts of...,"Harrisburg, PA",1 day ago,,Statistical Methodology Consultant,"[u'Harrisburg', u' PA']",Harrisburg,[u' PA'],PA
523,Citi,"Data analysis and present to desk. Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries...","New York, NY",19 days ago,,Global Credit Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
524,MLB Advanced Media,"Undergraduate (Bachelors) degree with (1) year of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...","New York, NY 10011 (Chelsea area)",11 days ago,,Statistical Analyst,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
525,Cervello Technologies LLC,"Research and document process workflows and data flows. Data mining, statistical analysis, and mathematical models) to improve analytic tradecraft....","Aberdeen, MD",13 days ago,,Operations Research Systems Analyst (ORSA),"[u'Aberdeen', u' MD']",Aberdeen,[u' MD'],MD
526,OpenTable,"Senior Data Scientist. OpenTable is looking for an experienced, impact-driven Senior Data Scientist to join our team....","San Francisco, CA 94103 (South Of Market area)",5 days ago,,Senior Data Scientist,"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA
527,Celgene Corporation,"Work with R&ED study teams to develop R&ED information management plans that outline data capture, data flow, data queries, manual checks, and data listings...","Cambridge, MA 02139 (Area IV area)",30+ days ago,,"Sr. Data Scientist (Cambridge, MA)","[u'Cambridge', u' MA 02139 (Area IV area)']",Cambridge,[u' MA 02139 (Area IV area)'],MA
528,Eliza Corporation,"Experience with consumer data sources (e.g., Acxiom, Experian) and consumer segmentation strategies preferred....","Danvers, MA 01923",18 days ago,,Senior Scientist,"[u'Danvers', u' MA 01923']",Danvers,[u' MA 01923'],MA
529,Independence Blue Cross,"Maintain and/or create BRDs by performing appropriate data analysis of the data in the data warehouse to identify accurate mapping rules, coordinate and assist...","Philadelphia, PA",5 days ago,,Research Analyst,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
530,Association of Universities for Research in Astron...,Science Data Analysis Specialist. Developing algorithms for image data processing. Programming within astronomical data reduction pipeline frameworks....,"Tucson, AZ",26 days ago,,Scientific Programmer/Science Data Analyst/DevOps Engineer,"[u'Tucson', u' AZ']",Tucson,[u' AZ'],AZ
531,Twitter,"Twitter data scientists create increasingly sophisticated models of users and content. We create robust, production quality data pipelines, guide data analysis...","Boston, MA",3 days ago,,"Senior Software Engineer, Data Engineering","[u'Boston', u' MA']",Boston,[u' MA'],MA
532,Intechriti,"Requirements for Data Scientist, Data Analyst, Machine Learning Engineer*. So, if you are a Data Scientist, Data Engineer, Data Analyst with Machine Learning...","Sunnyvale, CA",30+ days ago,"<nobr>$160,000 a year</nobr>",Data Scientist (Advanced Machine Learning),"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
533,University of California Berkeley,Assist with data collection. Basic knowledge of one or more specialized computer programs for the analysis of data....,"Berkeley, CA",5 days ago,<nobr>$25.77 - $38.85 an hour</nobr>,"Research Data Analyst, ARE","[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
534,StockTwits,We are seeking a talented and proven Data Scientist to help investigate our data to identify and execute scalable ways to grow StockTwits’ community and data...,"New York, NY",30+ days ago,,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
535,Siemens,Hands-on expertise in handling and analyzing large data sets. We are looking for a motivated Research Scientist who would like to be part of a dynamic team in...,"Berkeley, CA",5 days ago,,Research Scientist - Machine Intelligence,"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
536,Radius,"Well versed in data visualization and exploratory data analysis. Knowledge of algorithms, and data structures....","San Francisco, CA",16 days ago,,Data Intelligence Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
537,Google,"Understand YouTube's data infrastructure and data systems. As a Product Strategy & Operations Lead, you will be a close business partner to our teams of Data...","San Bruno, CA",1 day ago,,"Product Strategy and Operations Lead, YouTube","[u'San Bruno', u' CA']",San Bruno,[u' CA'],CA
538,University of Virginia Health System,Provides guidance to less experienced data analysts/scientists. Regularly provides guidance and training to less experienced data analysts/scientists....,"Charlottesville, VA",30+ days ago,"<nobr>$89,523 - $143,229 a year</nobr>",Data Scientist Senior,"[u'Charlottesville', u' VA']",Charlottesville,[u' VA'],VA
539,BNY Mellon,"The incumbent ensures that model development, implementation, data input, reporting, documentation, validation and maintenance use best practices, adhere to...","New York, NY",16 days ago,,Quantitative Risk Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
540,Cogo Labs,The ability to gather and present relevant data when pitching an idea for additional investment will make Cogo a fun place to start your career....,"Cambridge, MA",11 days ago,,Quantitative Analyst,"[u'Cambridge', u' MA']",Cambridge,[u' MA'],MA
541,Broad Institute,"Additionally, the individual will be responsible for integrating genetic variation data and gene expression data into pathway network analyses....","Boston, MA",15 days ago,,Postdoc Associate - Computational,"[u'Boston', u' MA']",Boston,[u' MA'],MA
542,Sargento Foods,The Principal Research Scientist for the Strategic Areas of Interest group (SAI) is an experienced scientist with an applied research background that will be...,"Elkhart Lake, WI 53020",11 hours ago,,Principal Research Scientist,"[u'Elkhart Lake', u' WI 53020']",Elkhart Lake,[u' WI 53020'],WI
