,company,description,post_date,title,city,state,range_low,range_high,salary_avg
463,MD ANDERSON CANCER CENTER,"Interpret and analyze market data, and provide management level summaries and recommendations. The University of Texas MD Anderson Cancer Center in Houston is...",1,Market Research Analyst - Innovation,Houston,TX,80000.0,120000.0,100000.0
464,Department Of Labor,"Compiling data, analyzes health and exposure data. Reviewing scientific literature and compiling data to perform quantitative analysis of the data;...",1,Health Scientist,Washington,DC,53435.0,100736.0,77085.5
465,MD ANDERSON CANCER CENTER,Utilizes institutional and departmental databases to perform data retrieval for analysis. Collaborates on presentations and publications arising from data...,12,Research Scientist - Leukemia,Houston,TX,,,
466,Third Bridge,First job out of college not what you thought it would be? Boring? No real responsibility? Just a cog in a wheel? If you are ready to leave dull and join,3,Research Analyst-All 2016 Grads,New York,NY,,,
467,GAF,The data scientist to develop predictive models and. Various data sources and data structures in the course. Marketing data science. The Data Science Coop will....,30,Data Sciences Co-Op,Parsippany,NJ,,,
468,E. & J. Gallo,"Do you enjoy data? Be part of a team monitoring our data ecosystem that will help us evaluate new applications, provide recommendations regarding changes to...",24,Sr Statistician,Modesto,CA,,,
469,Polaris Management,"Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date...",19,Global Regulatory Research Analyst,New York,NY,,,
470,Equifax,"A review of output by a Senior StatisticianAnalysis across credit, fraud and insurance arenasDevelop processes for repeatable tasks, such as data extraction,...",4,Statistician,Alpharetta,GA,,,
471,LeanTaas,LeanTaaS is looking for extraordinary data scientists to synthesize and leverage massive data sets to help radically transform data into products.....,20,Senior Data Scientist,Santa Clara,CA,,,
472,New York State Insurance Fund,"Run risk systems (such as POINT, Aladdin, Yield Book, Quantal Risk Estimates, FINCAD, Moody’s KMV) and compile exposure and risk related data;...",30,Quantitative Analyst,New York,NY,,,
473,E.&J. Gallo Winery,"Do you enjoy data? Be part of a team monitoring our data ecosystem that will help us evaluate new applications, provide recommendations regarding changes to...",24,Sr Statistician,Modesto,CA,,,
474,The University of Texas Medical Branch,"Performs, records and evaluates quality control data according to procedures including checking expiration dates and documentation of QC performance before use....",23,Medical Lab Scientist,Angleton,TX,53600.0,80400.0,67000.0
475,Tech Quarry,"Data Scientist / Data Analyst / Data Implementation*. The *Data Scientist / Data Analyst /*. , data scientist, data flows and data “health” with pricing and...",11,Data Scientist / Data Analyst,San Antonio,TX,120000.0,,120000.0
476,Empiric Solutions,"Mentor other data scientists. Perform hands on data exploration and modeling over big data technologies. Exploring, manipulating, and visualizing data in big...",6,Lead/Principal Data Scientist,New York,NY,165000.0,,165000.0
477,Direct Client,"Extensive experience using SAS programming along with experience with SAS/Base, SAS/Macros, SAS/ Graph and SAS/Stat to process, report, and analyze clinical...",2,PRINCIPAL STATISTICAL SAS PROGRAMMER ANALYST,Little Falls,NJ,,,
478,Selby Jennings,Capable of managing large data sets. Quantitative Researcher – Big Data and Machine Learning. 3-5 years of experience with machine learning and big data...,1,Quantitative Researcher – Big Data and Machine Learning,Chicago,IL,125000.0,175000.0,150000.0
479,Career Path Group,Insurance Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and...,23,Data Scientist and Analytics Developer - Insurance,Manhattan,NY,,,
480,Department of Defense,Perform quantitative analysis of transaction data. America's Combat Logistics Support Agency....,2,Operations Research Analyst,Whitehall,OH,86703.0,112718.0,99710.5
481,General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",27,Data Science Instructor Lead,New York,NY,,,
482,Capital One,"2+ years of experience working with Data Scientists. 1+ years of experience in data ingestion using Nifi, Databus or Snaplogic....",16,Senior Manager- Technical Analytics,Vienna,VA,,,
483,CBRE,Responsible for conducting data audits and implementing processes to improve data quality. Interacts with the National Data Integrity Group and provides...,16,Research Data Analyst,Houston,TX,,,
484,Etech Hi Inc.,"Data analyst, data programmer, data scientists, analytic officer, data and analytics officer, business analytics, health analytics....",25,Data Analyst II/III,Brewer,ME,120000.0,,120000.0
485,EcoFactor,We're looking for a dynamic data scientist to develop algorithms for automated energy efficiency. 3+ years experience in the development of data products....,11,Sr. Data Scientist,Redwood City,CA,,,
486,Johns Hopkins University,And experience with scientific data. We are seeking a postdoctoral research scientist with a strong background in scientific software development to be a member...,1,Assistant Research Scientist,Baltimore,MD,,,
487,CareWorks Tech,Have joint accountability with data stewards and data architects on the projects to ensure conformance to enterprise data governance policies around information...,30,"Data Analytics | Modeling, Profiling, Mapping, MDM, Governan...",Columbus,OH,,,
488,Mid-Atlantic Permanente Medical Group,"Maintain data integrity. Oversee all phases of SAS/SQL/analytical programming, data management, macros, quality control and reporting of research data....",26,Research Data Analyst,Rockville,MD,,,
489,Genentech,The SPA Therapeutic Area (TA) Data Analytics Manager has responsibility for leading a team of data analytics specialists supporting the critical data...,30,"Data Analytics Manager, Statistical Programming and Analysis",South San Francisco,CA,,,
490,Covance,"Job Posting Covance is looking for a Research Analyst for its Madison, WI location. • Develop competent basic laboratory skills to support duties in primary",11,Research Analyst,Madison,WI,,,
491,Société Générale,"Based on the risk model, stress test or risk process documentation and data, and using its technical skills and critical spirit the auditor will benchmark and...",21,Quantitative Analyst (Regulatory Models),New York,NY,,,
492,Natera,Experience with genetic data or high throughput sequencing. Natera is currently seeking a Senior Data Scientist who will play a key role in development of new...,17,"Senior Data Scientist, Algorithm Development",San Carlos,CA,,,
493,Lifetime Fitness,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,30,Ultimate Hoops Statistician,Westchester,NY,,,
494,Net ESolutions Corporation (NETE),NETE is seeking a detailed oriented Tableau Data Visualization Analyst to join our great data team. Reasons independently - complex data architectures....,26,Tableau Data Visualization Analyst,Rockville,MD,,,
495,QuEST Global Engineering,Format data presentations and assist in identifying data anomalies. Update Performance Metrics and assist with data analysis....,30,AFM-Data Analysis/Presentation,Windsor Locks,CT,,,
496,Zel Technologies,Perform QA/QC on all data. They will assist in the development and conducting of quality control of laboratory data and statistical review of analyzed...,30,Scientist,Patrick Afb,FL,,,
497,Kelton Global,Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and resonance for our,1,"Analyst, Qualitative Research",New York,NY,,,
498,Millicom,"The Advanced Analytics Manager (Senior Data Scientist)\ main responsibilities are:. Design, develop and implement data management systems of analytic frameworks...",30,Senior Data Scientist,Miami,FL,,,
499,"BioFire Diagnostics, LLC.","Excellent experimental design, data analysis, critical thinking, troubleshooting, and data presentation skills....",4,Scientist I,Salt Lake City,UT,,,
500,Spotify,"Must have at least 1 year of experience working with data scientist and engineers on marketing initiatives. Analytics tackles complex, data-intensive research...",2,Analytics Consulting Lead- Marketing,New York,NY,,,
501,Reed Elsevier,"Maintain data quality at or greater than 99.5% for agreement details in CRM. A global company based in Amsterdam, Elsevier partners with scientists, researchers...",26,Sales Support Coordinator,New York,NY,,,
502,Wiley,"Wiley is a provider of content-enabled solutions that improve outcomes in research, education, and professional practice. Our core businesses produce",3,Sr. Business Analyst (Research),Hoboken,NJ,,,
503,Novavax,Ability to analyze and determine the applicability of laboratory data to draw conclusions and to make appropriate recommendations....,1,"Associate Scientist, Formulation Development",Gaithersburg,MD,,,
504,Microsoft,The Microsoft Azure Storage team is looking for a Senior Data Scientist with proven capability of using data to solve high impact business problems....,10,Senior Data Scientist,Redmond,WA,,,
505,EMC CORPORATION,"While working with customers and prospects, leverage significant experience directly working with data to define analytics use-cases that address customer...",30,Data Scientist I,Palo Alto,CA,,,
506,Intel,Job Description The intern will be part of a team integrating software and sensors into vehicles to implement highly automated driving usages. In addition to,30,"Intern, Software Engineer – Computer Vision, Machine Learnin...",Hillsboro,OR,,,
507,inVentiv Health Clinical,"Experience in immunostaining techniques and confocal microscopy, image acquisition and analysis (including video data) is desirable....",3,"Associate Scientist I, Research",Somerville,MA,,,
508,Amazon Corporate LLC,DynamoDB is looking for a Research Scientist who would help propel DynamoDB to new levels of profitability while safeguarding customer data as a top priority....,30,Principal Scientist,New York,NY,,,
509,Ancestry,Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....,23,Senior Data Scientist,San Francisco,CA,,,
510,"University of Maryland, Baltimore",Compile and analyze data; Skill in data management software. Skill in data analysis and statistical. Duties include performing and supervising data collection;...,3,Statistician,Baltimore,MD,,,
511,Brilliance Publishing,"3+ years analyzing and interpreting data. You don’t care whether you’re working on machine learning, blazing fast code, forecasting, distributed computing,...",30,Sr. Data Scientist : AWS Networking,Seattle,WA,,,
512,New York State Senate,Restructure social listening data to achieve social intelligence from big data. Ability to provide data visualizations....,30,Data Scientist,Jefferson Valley-Yorktown,NY,50000.0,,50000.0
513,Eliza Corporation,"Experience with consumer data sources (e.g., Acxiom, Experian) and consumer segmentation strategies preferred....",21,Senior Scientist,Danvers,MA,,,
514,"MDwise, Inc","Perform validation of claims from an overall perspective, including the validity of the data entry process, the analyst’s adjudication process, the...",3,Claims Research Analyst,Indianapolis,IN,,,
515,Stride Search,"Day to day, you will work with the product and operation teams to ask and research the right questions, as well as code alongside engineers and data scientists...",5,Business Intelligence Analyst,San Francisco,CA,,,
516,Clemson University,"Experience in supervisory control and data acquisition systems, distribution management systems, energy management systems, power system communication protocols...",8,Post Doctoral Associate- eGRID Center,Clemson,SC,,,
517,Ibotta,Data Scientist who will help build out our new data products vertical. Data Scientist will report to the Head of Ibottalytics....,30,Senior Data Scientist,Denver,CO,,,
518,Western Union,"2-5 years of experience in Data Scientist, customer analytics, data mining and. In this role, you will be a Data Scientist, and be responsible for analyzing US...",25,"Manager, Customer Analytics/Data Scientist",Englewood,CO,,,
519,"23andMe, Inc.","Effective graphical presentation of data. If using big genotype data and phenotypic survey analyses excites you, and if solving for the clinical significance of...",4,Genetic Variant Classification Statistician,Salt Lake City,UT,,,
520,Sanford Health,"Must have significant experience in analyzing and evaluating data. Must possess knowledge of modern research methods, data collection and analysis....",16,Staff Scientist ~ Guo Lab,Sioux Falls,SD,,,
521,General Assembly,"Working as a developer or data scientist. Recently voted Fast Company’s #1 Most Innovative Company in Education and #28 Most Innovative Company in the world,...",30,R&D Manager,New York,NY,,,
522,Averity,Source and build large data sets to utilize your abilities to conduct statistical and mathematical analysis....,25,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,Philadelphia,PA,200000.0,300000.0,250000.0
523,W.W. Grainger,"Conducts analysis of market data and customer information, identifying patterns, trends and translating those into actionable insights....",16,Statistical Analyst,Lake Forest,IL,,,
524,FranklinStewart,"Knowledge of data process modeling. Analyzes data in order to identify trends through the review of historical, qualitative and quantitative data and develops...",3,Quantitative Analyst,Chicago,IL,,,
525,Genentech,"Exceptionally strong communication, data presentation and visualization skills. Broad experience with data generated by one or more high-throughput molecular...",28,"Bioinformatics Scientist, Cancer Immunology",South San Francisco,CA,,,
526,All-In Analytics,This role will be responsible for leveraging analytics to train and evaluate models to gain insights to identify opportunities and solve business problems.,9,Machine Learning Data Scientist,New York,NY,115000.0,150000.0,132500.0
527,IBM,"From the get-go, you will have the opportunity to impact marketing strategy at a global level and work with some of the brightest data scientists, social media...",1,Campaign Planning Professional,New York,NY,,,
528,Exponent,"Exponent’s Technology Development Practice is currently hiring an Associate with expertise in Machine Learning, Data Analytics, and Software Development....",12,Software and Analytics Associate,Menlo Park,CA,,,
529,Total Quality Logistics (TQL),"Prepare analysis data sets, tables, listings, graphs, and statistical analyses. Identify and request new areas for data collection to support ongoing or future...",22,Data Analyst - Statistician,Cincinnati,OH,,,
530,Collective Health,You'll also work collaboratively with health data scientists and actuaries to productize insights derived from their analysis....,17,Data Engineer,San Mateo,CA,,,
531,State Farm,"Manages division data files. Determines analytical requirements for data processing, including the selection of appropriate data, tabulations and statistical...",9,Research Analyst,Bloomington,IL,,,
532,LexisNexis,"Assemble, merge, and parse large amounts of data to detect meaningful trends and patterns. The incumbent will have a firm understanding of machine learning,...",30,Associate Statistical Modeler,Minneapolis,MN,,,
533,Citi,"Data analysis and present to desk. Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries...",23,Global Credit Quantitative Analyst,New York,NY,,,
534,Equifax,"Work with Senior Statisticians on the formulation of new modeling solutions across credit risk, utility risk, collections and marketing areasConduct analysis on...",10,Statistician - Risk Analytics & Remediation,Alpharetta,GA,,,
535,Hudson's Bay Company (HBC),Candidate will also help to integrate additional sources of customer data to create a full picture of the customer and the opportunity....,15,"Sr. Analyst, HBC Customer Research & Insights",New York,NY,,,
536,Experian,Job Description - Data Scientist Senior (161273) Experian is an Equal Opportunity Employer Data Scientist Senior - Job Number:....,23,Data Scientist Senior,Costa Mesa,CA,,,
537,Vanderbilt University Medical Center,Perform data entry and other study related tasks as needed. This position will provide research and data collection support for the ADAPTABLE pragmatic clinical...,24,Research Analyst I,Nashville,TN,,,
538,Northern Arizona University,"Both optical & electron (SEM & TEM), and some experience with video data analysis. We seek outstanding, highly motivated early-career scientists who will be...",16,Postdoctoral Scholar,Flagstaff,AZ,50000.0,,50000.0
539,CEB,"Analyze existing data from multiple. Generate charts, tables, and other data. And experience creating graphical representations of data....",12,Research Analyst,Minnesota,,,,
540,Lowe's,"Experience working with unstructured/big data. 2 years of experience working with analytic software (e.g., Base SAS, SAS Enterprise Miner, Enterprise Guide) and...",25,Sr. Statistical Analyst-Enterprise Analytics,Mooresville,NC,,,
541,Bessemer Trust Company,HEDGE FUND RESEARCH ANALYST The Alternative Investment Group at Bessemer Trust (New York) is interviewing potential candidates for an open “Senior Hedge Fund,3,Hedge Fund Research Analyst,New York,NY,,,
542,Tunnell Consulting,PK/PD statistician support: Assessment of published PK/PD studies for bio pharmaceutical product and development of initial statistical strategy. Develop,9,Statistician,Pennsylvania,,,,
543,PNC Bank,"Additional responsibility include QA work, data analysis, data cleaning, and data querying. Data Gathering and Reporting - Working Experience....",4,Quantitative Analytics & Model Development Analyst,Pittsburgh,PA,,,
544,Iowa State University,Assistant Scientist II:. Experience in Data Visualization. Experience in Transportation Data Collection. The above requirements are for a Assistant Scientist I....,2,Assistant Scientist I/II,Ames,IA,,,
545,Quantlab Financial,Extracting new options trading signals from existing high frequency data. Quantlab is looking for an experienced Quantitative Research Scientist – Options...,26,Quantitative Research Scientist - Options Strategist,Houston,TX,,,
546,Flexion Therapeutics,"Present data at CMC meetings and to management. In February 2016, we announced positive data from our Phase 3 study of our lead product candidate, Zilretta™...",13,"Scientist, CMC Operations",Burlington,MA,,,
547,Hirewell,Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,2,Data Scientist -Fitness/Wellness Firm,Chicago,IL,120000.0,,120000.0
548,State of South Carolina,"Adapts and update agency regulations, data sharing agreements, and policies as needed to support the record-matching process....",9,Statistician III - 61008856,Richland County,SC,39960.0,73935.0,56947.5
549,Penn State University,"The successful candidate must have experience with relational databases, data cleansing and transformation, data validation, and handling large datasets....",18,Market Research Data Analyst,University Park,PA,,,
550,AT&T,Data Scientists will usually have a Master’s; Qualified candidates may be asked to submit a Research Statement (required for Inventive Scientist applicants) and...,14,Senior Inventive Scientist (Labs Big Data Research),New York,NY,,,
551,AT&T,AT&T BIG DATA - SENIOR DATA SCIENTIST. Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....,9,Senior Data Scientist BIG DATA,Atlanta,GA,,,
552,PAREXEL International,"The Senior Statistical Programmer is an excellent opportunity for Programmers to show case their leadership skills; utilize, advice, and mentor their",8,Senior Statistical Programmer (Home Based),,,,,
553,New Directions Behavioral Health,"The Data Scientist, Sr. Demonstrated ability to think creatively about and develop solutions for technical problems related to data extraction and data creation...",30,"Data Scientist, Sr.",Kansas City,MO,,,
554,Leidos,"MVC, MVP or SPA applications, object relational mapping technologies, real-world object-oriented programming, design patterns, SQL and other data query...",8,Technical Lead 626400 (NCI),Frederick,MD,,,
555,Dept of Behavioral Health & Developmental Sv,This position is responsible for carrying out a broad and moderately complex range of analytical activities utilizing data from the DBHDS Data Warehouse and...,9,Statistician,Richmond,VA,,,
556,University of Utah,"Maintain up-to-date files and records of research data. You will gain hands-on research experience and work alongside leading scientists, statisticians,...",5,Staff Research Assistant,Salt Lake City,UT,,,
557,ePatientFinder,"Experience in data analysis, data transformation, integration, reporting and extraction. You are a data domain expert and will partner with our technology team...",1,Integration Engineer,Austin,TX,,,
558,Alcatel-Lucent,"1 year(s) of iOS mobile application development, including Xcode, iOS SDK, Swift , core data OR 1 year(s) of experience with Javascript, REST interfaces, XML,...",12,Software Developer - Fall Intern,Murray Hill,NJ,,,
559,Harvard University,Demonstrated knowledge of data management and analysis for multiplex and high-throughput biological assays....,9,Scientific Software Programmer,Boston,MA,,,
560,IBM,Build real-time interactive point- and map-based weather data visualizations based on data APIs and/or other stored or streaming data sources for internal...,30,Data Visualization Software Engineer,Atlanta,GA,,,
561,State of Arizona,Public Health Scientist 2. Skills in analyzing data. ARIZONA DEPARTMENT OF HEALTH SERVICES....,10,Public Health Scientist 2,Phoenix,AZ,48000.0,,48000.0
562,Capital Group,Maintains the data integrity of our security level analytics for Fixed Income portfolios and benchmarks. N/A....,19,Risk and Quantitative Solutions Analyst,Los Angeles,CA,,,
563,Otis,"You are the primary data domain expert and will be partnering with our technology teams, analytical consultants and data scientists across various initiatives....",1,Data Warehouse / BI Engineer - Data Architecture,West Palm Beach,FL,,,
564,TARGET,"Algorithm Developer, Junior Scientist, Project Scientist. Designs and drives the creation of new standards and best practices in the use of statistical data...",30,Lead Data Scientist,Sunnyvale,CA,,,
565,"Truven Health Analytics, Inc. & Simpler Consulting","Perform data investigation on diagnostic, descriptive, and statistical output during course of research project....",30,Research Analyst I,Bethesda,MD,,,
566,Northwestern University,"Designs databases and data structures. Experience with support of researchers and scientists. Develops and implements procedures for data security, management...",2,Senior Developer,Chicago,IL,,,
567,1199SEIU Family of Funds,Prepare data requests and reports. Manage and review payroll postings to ensure they are entered accurately and efficiently....,30,Research Analyst,New York,NY,,,
568,"Optimal Solutions Group, LLC","Real-Time Data Collection, Analysis, and Reporting More > Real-Time Data Collection, Analysis, and Reporting More > Real-Time Data Collection, Analysis, and...",2,Research Analyst III - Health Policy Research Center,College Park,MD,,,
569,Goldman Sachs,"The Goldman Sachs Group, Inc. is a leading global financial services firm providing investment banking, securities and investment management services to a",16,"Finance, CRMA, Credit Research Group, Analyst, Salt Lake Cit...",Salt Lake City,UT,,,
570,Demandbase,"As the Senior Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract...",10,Senior Data Scientist,San Francisco,CA,,,
571,KU Endowment,Analyze and prioritize data to assist development staff in portfolio management. Provide custom data screening reports to support fundraising in collaboration...,2,Development Research Analyst,Lawrence,KS,,,
572,Citi,"Proficiency with exploratory data analysis, manipulation of large datasets and dealing with data quality and messy/missing data....",30,Vice President Statistical Data Modeling Manager,O'Fallon,MO,,,
573,SRC and SRCTec,"Is currently looking for a data scientist to work out of Chantilly, Va. Predictive modeling and data mining. As a senior data scientist, you will be responsible...",29,Senior Data Scientist Job,Chantilly,VA,,,
574,Piper Enterprise Solutions,Compensation of the Data Scientist:. Responsibilities for the Data Scientist include:. The Data Scientist will be a key member in the collection and analysis of...,26,Data Scientist,Research Triangle Park,NC,100000.0,120000.0,110000.0
575,Seven Bridges,Previous experience with large-scale genomic data (e.g. Proficient in next-generation sequencing data analysis and variant analysis....,17,Bioinformatics Scientist,Cambridge,MA,,,
576,Theranos,Experience with pharmaceutical/medical/clinical data is a plus. Strong skills in algorithms and working with large volumes of data....,8,Scientist (Bioinformatics),Palo Alto,CA,,,
577,Smith & Nephew,"Responsible for development of data quality standards. Other Experience with Clinical Data Management Systems such as Oracle Clinical, Medidata, Inform or...",3,Statistician,Memphis,TN,,,
578,LigaData,"The Senior Implementation Manager works across LigaData with engineers, solutions architects, and data scientists....",18,Senior Big Data Implementation Manager,New York,NY,,,
579,Rubicon Project,"Rubicon Project is looking for talented, passionate, experienced, and entrepreneurial Data Scientist. Expertise in machine learning, data mining, predictive...",24,Senior Data Scientist,San Francisco,CA,,,
580,Engility Corporation,Join an energetic team of committed data scientists who help the U.S. Experience working with large data sets....,8,Cost Analyst,Washington Navy Yard,DC,,,
581,Horizon Discovery,"Senior R&D Scientist. May direct associate scientists with design, troubleshooting and sets priority setting. This position is expected to represent Horizon at...",27,Senior R&D Scientist,St. Louis,MO,,,
582,Johns Hopkins University,"Supports standard data reporting requirements and responds to external information and data surveys. Data collection, Storage and Reporting (45%)....",23,Sr. Institutional Research Analyst,Baltimore,MD,48977.0,67374.0,58175.5
583,Oncora Medical,"Your job will center around effectively communicating information and insights based on data to our users, so you’ll work closely with data scientists and meet...",30,UX and Data Visualization Developer,Philadelphia,PA,80000.0,100000.0,90000.0
584,Fred Hutchinson Cancer Research Center,SCHARP provides statistical and data management services to:. ) is an international collaboration of scientists and experts testing preventive vaccines against...,30,"Unit Head, Data Analytics Unit",Seattle,WA,,,
585,QuEST Global Engineering,"Working in Data Analytics project at least 1-2 big development project ,. 4-5 Years of experience Analytics & Team Management along with exposure in SAS backed...",30,Data Analysis,Schenectady,NY,,,
586,Webroot,Analyze threat data and assist in the development of Machine Learning techniques to automate threat detection....,4,"Software Engineer, Machine Learning",San Diego,CA,,,
587,Celmatix,"We seek a Research Scientist to join our growing interdisciplinary team of biologists, bioinformatics scientists, and data scientists....",11,Research Scientist,New York,NY,,,
588,Bloomberg,"Evaluate cutting-edge big data technologies/software (e.g. Strong Computer Science fundamentals (algorithms, data structures)....",30,Senior Data Engineer for Search and Discoverability Team,New York,NY,,,
589,Fanatics Inc.,"Methodical approach to areas such as Data Modeling, Data Quality, System Performance. Work closely with data scientists to assist on feature engineering, model...",30,"MTS 1, Data Science & Engineering",San Mateo,CA,,,
590,The University of Texas at Dallas,Responsible for the evaluation and interpretation of research data. The successful candidates will work collaboratively with a team of engineers and scientists...,2,Research Associate,Richardson,TX,,,
591,Carnegie Mellon University,"Algorithms and data structures, and the application of state-of-the-art. For developing experimental research applications and modifying existing....",30,"Research Programmer/Analyst, Robotics Institute",Pittsburgh,PA,35595.0,64070.0,49832.5
592,Merck,"Associate Director, Data Scientist, CORE-OUT000368. You are a data scientist with interests in population health....",4,"Associate Director, Data Scientist, CORE Job",Boston,MA,,,
593,Vertex Pharmaceuticals,"A proven track record in computational analysis of large “omics” data sets (e.g. Degree in human/statistical genetics, (cancer) genomics, or a related field in...",8,"Computational Genomics, Research Scientist I",Boston,MA,,,
594,"BNNT, LLC","BNNT, LLC is seeking a *Materials Applications Development Scientist*. Conduct surface analysis, interpret data, and communicate effectively to progress rapidly...",22,Materials Applications Development Scientist,Newport News,VA,,,
595,Capital One,"Senior Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data -Integrating with external data sources...",22,Senior Data Scientist,New York,NY,,,
596,Reed Elsevier,"Data Analysis and Reporting:. Blend data from multiple sources, which may require finding or creating a way to tie data sets together....",30,"Data Analyst, Education Operations",St. Louis,MO,,,
597,Yale University,Responsible for data analysis using various quantitative and qualitative statistical packages; Position will provide data research and data assistance support...,30,Statistician Entry,New Haven,CT,,,
598,Booz Allen Hamilton,"Perform as a data scientist with a focus on computer science and apply knowledge of and expertise in distributed, scalable Big Data store, including Accumulo,...",19,"Data Scientist, Junior",Alexandria,VA,,,
599,University of Washington,This position will be responsible for developing and implementing applications and interfaces that accurately represent laboratory data used in direct patient...,8,RESEARCH SCIENTIST/ENGINEER 3,Seattle,WA,,,
600,Deloitte,"Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology....",15,Big Data Senior Consultant,Denver,CO,,,
601,University of Miami,Data management and data analysis skills. The Assistant Scientist is the third level Research position. Appointees will help to manage a data base of randomized...,11,"Asst. Scientist, GAB",Coral Gables,FL,55000.0,65000.0,60000.0
602,Depuy Orthopaedics. Inc.,"Experience in correcting for partial or distorted data sets and merging and analyzing large, diverse data sources is required....",5,Data Statistician III,West Chester,PA,,,
603,Finra,Senior Developer/Data Scientist. Research and build learning systems to analyze large online data flows and offline data analysis....,22,"Senior Developer/Data Scientist - Technology - Rockville, MD",Rockville,MD,,,
604,WESTAT,"Westat is an employee-owned corporation providing research services to agencies of the U.S. Government, as well as businesses, foundations, and state and",2,Survey Sampling Statistician,Rockville,MD,,,
605,Camris International,"The position will be responsible for leading the Real-Time Data for Adaptive Management (RTD4AM) initiative, as well as providing guidance for the team’s...",2,Senior Scientist,Washington,DC,,,
606,State Farm Mutual Automobile Insurance Company,"Data pulling familiarity with tools such as SAS, Omniture, Tealeaf. Ability to drive and influence business decisions based on metrics and data....",1,Research Systems Analyst,Bloomington,IL,,,
607,AbbVie,"Build an advanced data mining tool, for API physical properties data assessment. “Agglomeration Data Mining R&D”....",30,Postdoc - Postdoctoral Fellow - Agglomeration Data Mining R&...,Lake County,IL,,,
608,San Manuel Indian Bingo & Casino,"Investigates and helps solve data quality issues, enabling accurate analysis. Provides and evaluates research data to facilitate decision-making and resource...",30,Statistical Data Analyst,Highland,CA,,,
609,IBM,"Merge data sources; Act as a business consultant, data scientist and solution architect in support of IBM's INTERNAL customers....",30,Finance Data Analytics Consultant,Rochester,NY,,,
610,firstPRO,"External data, internal data, machine data, etc), data formats and data structures. Conducts explanatory data analysis and prepares data sources to be analyzed....",19,Senior Data Scientist,Atlanta,GA,,,
611,City of New York,City Research Scientist. Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,15,Predictive Risk Analyst,New York,NY,68239.0,85644.0,76941.5
612,American Family Insurance,"Explores data using a variety of statistical (e.g., data mining, regression, cluster analysis) techniques to answer business questions or guide future model...",1,Statistical Senior Analyst,Madison,WI,,,
613,Mount Sinai Health System,"Data entry staff. Files for data entry, merges information from multiple data files, computes. Coordinates core data activities with regards....",1,STATISTICIAN - CANCER CENTER WHELAN RESEARCH - MSW,,,,,
614,"Concert Pharmaceuticals, Inc.","Working within the clinical development organization, the Scientist will support multiple programs, performing....",14,"Scientist, Clinical Pharmacology and Development",Lexington,MA,,,
615,Averity,Our Quantitative Strategy team is in search of a statically and analytically driven Quant / Data Scientist with hands on programming experience to lead the...,25,Quantitative Research Analyst / Scientist for $20B Hedge Fun...,New York,NY,,,
616,BNY Mellon,Must be able to analyze data and extrapolate trends within the data in order to create meaningful reports and case studies for Senior Management and internal...,30,Product Research Analyst - Dreyfus,New York,NY,,,
617,NYU Langone Medical Center,"HR and salary data analytics. PeopleSoft functional issue resolution - including management of payroll interfaces, data integration, data extracts/reporting...",19,Senior Data Analyst,New York,NY,,,
618,Bristol Myers Squibb,"The successful candidate will re-establish stalled automation runs, log system/instrument performance and perform quantitative analysis of system quality...",4,Research Scientist - Automation Engineer,Princeton,NJ,,,
619,Health Research Incorporated,"Strong SAS skills, and experience using SAS to analyze large health-related data files. The incumbent will monitor the completeness and internal consistency of...",3,Research Scientist I,Albany,NY,53875.0,,53875.0
620,WSP | Parsons Brinckerhoff,"At least one year of experience as a Data Analyst, gaining technical expertise with data models, database design development, data mining and segmentation...",30,Assistant Data Analyst,Sacramento,CA,,,
621,Walmart eCommerce,The team will consist of other behavioral scientists with various skill sets. The position is an applied role involving data analytics supporting projects the...,8,Research and Analytics,San Bruno,CA,,,
622,Boehringer Ingelheim,Concise and accurate reporting of technical data and information. Reports and treats data with a high level of integrity and ethics....,12,Scientist I,Saint Joseph,MO,,,
623,Otis,"You are the primary data domain expert and will be partnering with our technology teams, analytical consultants and data scientists across various initiatives....",4,Data Warehouse / BI Engineer - Data Transfer,West Palm Beach,FL,,,
624,University of Chicago,"Staff Scientist - Shuman Lab:. Prepares presentation materials derived from experiments and data analysis. Plans, executes, facilitates and promotes advanced...",3,Staff Scientist - Shuman Lab,Chicago,IL,,,
