,budget,buf,country,date,gross,language,loction,production,runtime,tconst
130,"Production Co:

Columbia Pictures Corporation 
See more »","Runtime:
129 min
|
120 min
            (TV)","Language:
English","Also Known As: Frank Capra's Mr. Smith Goes to Washington
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 19 October 1939 (USA)
    
See more »","Budget:        $1,500,000        

      (estimated)","Runtime:
129 min
|
120 min
            (TV)","Color:
 Black and White",tt0031679
131,"Gross:        $27,200,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Japanese
|
Thai","Also Known As: El puente sobre el río Kwai
      
See more »","Production Co:

Columbia Pictures Corporation,        
Horizon Pictures (II) 
See more »","Release Date: 14 December 1957 (USA)
    
See more »","Budget:        $3,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
70 mm 6-Track
(70 mm prints) (RCA Sound Recording)| Mono
(35 mm prints) (RCA Sound Recording)| 4-Track Stereo
(Linear PCM)",tt0050212
132,"Budget:        $2,000,000        

      (estimated)","Gross:        $20,167,424        

      (USA)
(8 January 2016)","Country:
Argentina
|
Spain","Release Date: 21 May 2010 (USA)
    
See more »","Opening Weekend:         $167,866        

      (USA)
      (16 April 2010)","Language:
Spanish","Filming Locations:
Estación Retiro, Retiro, Buenos Aires, Federal District, Argentina

See more »","Gross:        $20,167,424        

      (USA)
(8 January 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt1305806
133,"Budget:        $28,000,000        

      (estimated)","Gross:        $27,000,000        

      (USA)","Country:
USA
|
Hong Kong
|
UK","Release Date: 25 June 1982 (USA)
    
See more »","Opening Weekend:         $6,150,002        

      (USA)
      (25 June 1982)","Language:
English
|
German
|
Cantonese
|
Japanese
|
Hungarian","Filming Locations:
Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA

See more »","Gross:        $27,000,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0083658
134,"Production Co:

Svensk Filmindustri (SF) 
See more »","Runtime:
96 min","Language:
Swedish
|
Latin","Also Known As: The Seventh Seal
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 13 October 1958 (USA)
    
See more »","Budget:        $150,000        

      (estimated)","Runtime:
96 min","Color:
 Black and White",tt0050976
135,"Opening Weekend:         £941,638        

      (UK)
      (28 August 1998)","Production Co:

Summit Entertainment,        
Steve Tisch Company, The,        
SKA Films 
See more »","Language:
English","Also Known As: Juegos, trampas y dos armas humeantes
      
See more »","Gross:        $3,650,677        

      (USA)
(21 May 1999)","Release Date: 28 August 1998 (UK)
    
See more »","Budget:        £960,000        

      (estimated)","Production Co:

Summit Entertainment,        
Steve Tisch Company, The,        
SKA Films 
See more »","Runtime:
107 min
|
120 min
            (director's cut)",tt0120735
136,"Opening Weekend:         $3,474,751        

      (Japan)
      (19 November 2004)","Production Co:

Buena Vista Home Entertainment,        
DENTSU Music And Entertainment,        
Mitsubishi 
See more »","Country:
Japan","Release Date: 17 June 2005 (USA)
    
See more »","Gross:        $4,710,455        

      (USA)
(30 September 2005)","Language:
Japanese","Budget:        $24,000,000        

      (estimated)","Production Co:

Buena Vista Home Entertainment,        
DENTSU Music And Entertainment,        
Mitsubishi 
See more »","Runtime:
119 min",tt0347149
137,"Gross:        $42,438,300        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Kazino
      
See more »","Production Co:

Universal Pictures,        
Syalis DA,        
Légende Entreprises 
See more »","Release Date: 22 November 1995 (USA)
    
See more »","Budget:        $52,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
DTS-Stereo
| DTS",tt0112641
138,"Production Co:

Buster Keaton Productions,        
Joseph M. Schenck Productions 
See more »","Runtime:
67 min
|
80 min
            (1982)
          |
83 min
            (1962)
          |
75 min
            (2003 alternate)
          |
78 min","Language:
English","Also Known As: General
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 24 February 1927 (France)
    
See more »","Budget:        $750,000        

      (estimated)","Runtime:
67 min
|
80 min
            (1982)
          |
83 min
            (1962)
          |
75 min
            (2003 alternate)
          |
78 min","Color:
 Black and White
(Sepiatone)",tt0017925
139,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Language:
Swedish
|
Latin","Also Known As: Wild Strawberries
      
See more »","Runtime:
91 min","Release Date: 22 June 1959 (USA)
    
See more »","Production Co:

Svensk Filmindustri (SF) 
See more »","Sound Mix:
Mono",Aspect Ratio: 1.37 : 1,tt0050986
140,"Budget:        $245,000,000        

      (estimated)","Gross:        $936,627,416        

      (USA)
(20 May 2016)","Country:
USA","Release Date: 18 December 2015 (USA)
    
See more »","Opening Weekend:         $247,966,675        

      (USA)
      (18 December 2015)","Language:
English","Filming Locations:
Pinewood Studios, Iver Heath, Buckinghamshire, England, UK

See more »","Gross:        $936,627,416        

      (USA)
(20 May 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt2488496
141,"Production Co:

Brooksfilms 
See more »","Runtime:
124 min","Language:
English","Also Known As: El hombre elefante
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 10 October 1980 (USA)
    
See more »","Budget:        $5,000,000        

      (estimated)","Runtime:
124 min","Color:
 Black and White",tt0080678
142,"Budget:        $25,000,000        

      (estimated)","Gross:        $13,651,662        

      (USA)
(28 October 2011)","Country:
USA","Release Date: 9 September 2011 (USA)
    
See more »","Opening Weekend:         $5,242,107        

      (USA)
      (9 September 2011)","Language:
English
|
Spanish","Filming Locations:
Santa Clarita, California, USA

See more »","Gross:        $13,651,662        

      (USA)
(28 October 2011)","Show detailed
company contact information
  on 
  IMDbPro »",tt1291584
143,"Budget:        $100,000,000        

      (estimated)","Gross:        $116,866,727        

      (USA)
(28 March 2014)","Country:
USA","Release Date: 25 December 2013 (USA)
    
See more »","Opening Weekend:         $18,510,000        

      (USA)
      (27 December 2013)","Language:
English
|
French","Filming Locations:
New York City, New York, USA

See more »","Gross:        $116,866,727        

      (USA)
(28 March 2014)","Show detailed
company contact information
  on 
  IMDbPro »",tt0993846
144,"Production Co:

Roxlom Films Inc. 
See more »","Runtime:
186 min","Language:
English
|
German","Also Known As: El juicio de Nuremberg
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 18 December 1961 (Sweden)
    
See more »","Budget:        $3,000,000        

      (estimated)","Runtime:
186 min","Color:
 Black and White",tt0055031
145,"Budget:        $58,000,000        

      (estimated)","Gross:        $170,708,996        

      (USA)
(24 May 2002)","Country:
USA","Release Date: 4 January 2002 (USA)
    
See more »","Opening Weekend:         $2,501,096        

      (USA)
      (21 December 2001)","Language:
English","Filming Locations:
Bayonne, New Jersey, USA

See more »","Gross:        $170,708,996        

      (USA)
(24 May 2002)","Show detailed
company contact information
  on 
  IMDbPro »",tt0268978
146,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Language:
Japanese
|
English","Also Known As: Tokyo Story
      
See more »","Runtime:
136 min","Release Date: 13 March 1972 (USA)
    
See more »","Production Co:

Shôchiku Eiga 
See more »","Sound Mix:
Mono",Aspect Ratio: 1.37 : 1,tt0046438
147,"Budget:        $54,000,000        

      (estimated)","Gross:        $70,496,802        

      (USA)
(23 June 2006)","Country:
USA
|
UK
|
Germany","Release Date: 17 March 2006 (USA)
    
See more »","Opening Weekend:         £1,188,058        

      (UK)
      (17 March 2006)","Language:
English","Filming Locations:
Güterfelde, Stahnsdorf, Brandenburg, Germany

See more »","Gross:        $70,496,802        

      (USA)
(23 June 2006)","Show detailed
company contact information
  on 
  IMDbPro »",tt0434409
148,"Budget:        $6,800,000        

      (estimated)","Gross:        $6,857,096        

      (USA)
(23 September 2011)","Country:
Canada
|
France","Release Date: 12 January 2011 (France)
    
See more »","Opening Weekend:         $50,679        

      (USA)
      (22 April 2011)","Language:
French
|
Arabic
|
English","Filming Locations:
175 Boulevard Deguire, Montréal, Québec, Canada

See more »","Gross:        $6,857,096        

      (USA)
(23 September 2011)","Show detailed
company contact information
  on 
  IMDbPro »",tt1255953
149,"Budget:        $33,000,000        

      (estimated)","Gross:        $148,085,755        

      (USA)
(12 June 2009)","Country:
USA
|
Germany","Release Date: 9 January 2009 (USA)
    
See more »","Opening Weekend:         $271,720        

      (USA)
      (12 December 2008)","Language:
English
|
Hmong","Filming Locations:
13140 Charlevoix St, Detroit, Michigan, USA

See more »","Gross:        $148,085,755        

      (USA)
(12 June 2009)","Show detailed
company contact information
  on 
  IMDbPro »",tt1205489
150,"Opening Weekend:         $5,533,844        

      (USA)
      (6 March 1998)","Production Co:

Polygram Filmed Entertainment,        
Working Title Films 
See more »","Language:
English
|
German
|
Hebrew
|
Spanish","Also Known As: Big Lebowski
      
See more »","Gross:        $17,439,163        

      (USA)
(29 May 1998)","Release Date: 6 March 1998 (USA)
    
See more »","Budget:        $15,000,000        

      (estimated)","Production Co:

Polygram Filmed Entertainment,        
Working Title Films 
See more »","Runtime:
117 min",tt0118715
151,"Production Co:

Filmco International Productions 
See more »","Runtime:
177 min","Language:
English
|
Arabic","Also Known As: Mohammad: Messenger of God
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 8 July 1977 (France)
    
See more »","Budget:        $10,000,000        

      (estimated)","Runtime:
177 min","Color:
Color
(Eastmancolor)",tt0074896
152,"Production Co:

EMI Films,        
Universal Pictures 
See more »","Runtime:
183 min","Language:
English
|
Russian
|
Vietnamese
|
French","Also Known As: The Man Who Came to Play
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 23 February 1979 (USA)
    
See more »","Budget:        $15,000,000        

      (estimated)","Runtime:
183 min","Color:
Color
(Technicolor)",tt0077416
153,"Budget:        $3,500,000        

      (estimated)","Gross:        $16,501,785        

      (USA)
(13 December 1996)","Country:
UK","Release Date: 9 August 1996 (USA)
    
See more »","Opening Weekend:         £4,703,433        

      (UK)
      (15 March 1996)","Language:
English","Filming Locations:
78A Talgarth Road, West Kensington, London, England, UK

See more »","Gross:        $16,501,785        

      (USA)
(13 December 1996)","Show detailed
company contact information
  on 
  IMDbPro »",tt0117951
154,"Production Co:

Selznick International Pictures 
See more »","Runtime:
130 min","Language:
English
|
French","Also Known As: Rebeka
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 12 April 1940 (USA)
    
See more »","Budget:        $1,288,000        

      (estimated)","Runtime:
130 min","Color:
 Black and White",tt0032976
155,"Budget:        $7,000,000        

      (estimated)","Gross:        $25,882,374        

      (USA)","Country:
USA
|
UK","Release Date: 5 April 1996 (USA)
    
See more »","Opening Weekend:         $137,301        

      (USA)
      (19 July 1996)","Language:
English","Filming Locations:
Chanhassen Dinner Theatre, Chanhassen, Minnesota, USA

See more »","Gross:        $25,882,374        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0116282
156,"Opening Weekend:         $12,562        

      (USA)
      (9 April 1999)","Production Co:

Warner Bros. 
See more »","Language:
English","Also Known As: Alfred Hitchcock's Dial M for Murder
      
See more »","Gross:        $12,562        

      (USA)
(9 April 1999)","Release Date: 29 May 1954 (USA)
    
See more »","Budget:        $1,400,000        

      (estimated)","Production Co:

Warner Bros. 
See more »","Runtime:
105 min",tt0046912
157,"Budget:        $3,977,000        

      (estimated)","Gross:        $198,655,278        

      (USA)
(13 November 1998)","Country:
USA","Release Date: 17 January 1940 (USA)
    
See more »","Opening Weekend:         $1,192,593        

      (USA)
      (26 June 1998)","Language:
English","Filming Locations:
Agoura Hills, California, USA

See more »","Gross:        $198,655,278        

      (USA)
(13 November 1998)","Show detailed
company contact information
  on 
  IMDbPro »",tt0031381
158,"Budget:        $250,000,000        

      (estimated)","Gross:        $406,573,683        

      (USA)
(15 July 2016)","Country:
USA
|
Germany","Release Date: 6 May 2016 (USA)
    
See more »","Opening Weekend:         $179,139,142        

      (USA)
      (6 May 2016)","Language:
English
|
German
|
Xhosa
|
Russian
|
Romanian","Filming Locations:
Atlanta, Georgia, USA

See more »","Gross:        $406,573,683        

      (USA)
(15 July 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt3498820
159,"Production Co:

Jalem Productions 
See more »","Runtime:
126 min","Language:
English","Also Known As: La leyenda del indomable
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 1 November 1967 (USA)
    
See more »","Budget:        $3,000,000        

      (estimated)","Runtime:
126 min","Color:
Color
(Technicolor)",tt0061512
160,"Opening Weekend:         $43,732,319        

      (USA)
      (26 March 2010)","Production Co:

DreamWorks Animation,        
Mad Hatter Entertainment,        
Vertigo Entertainment 
See more »","Country:
USA","Release Date: 26 March 2010 (USA)
    
See more »","Gross:        $217,387,997        

      (USA)
(16 July 2010)","Language:
English","Budget:        $165,000,000        

      (estimated)","Production Co:

DreamWorks Animation,        
Mad Hatter Entertainment,        
Vertigo Entertainment 
See more »","Runtime:
98 min",tt0892769
161,"Budget:        $94,000,000        

      (estimated)","Gross:        $380,838,870        

      (USA)
(11 January 2013)","Country:
USA","Release Date: 30 May 2003 (USA)
    
See more »","Opening Weekend:         $70,251,710        

      (USA)
      (30 May 2003)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $380,838,870        

      (USA)
(11 January 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt0266543
162,"Opening Weekend:         $26,681,262        

      (USA)
      (6 August 1999)","Production Co:

Hollywood Pictures,        
Spyglass Entertainment,        
Kennedy/Marshall Company, The 
See more »","Language:
English
|
Latin
|
Spanish","Also Known As: El sexto sentido
      
See more »","Gross:        $293,501,675        

      (USA)
(12 May 2000)","Release Date: 6 August 1999 (USA)
    
See more »","Budget:        $40,000,000        

      (estimated)","Production Co:

Hollywood Pictures,        
Spyglass Entertainment,        
Kennedy/Marshall Company, The 
See more »","Runtime:
107 min",tt0167404
163,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Stereo","Language:
Belarusian
|
Russian
|
German","Also Known As: Come and See
      
See more »","Runtime:
136 min
|
105 min
            (heavily cut)","Release Date: 17 October 1985 (Hungary)
    
See more »","Production Co:

Mosfilm,        
Belarusfilm 
See more »","Sound Mix:
Stereo",Aspect Ratio: 1.37 : 1,tt0091251
164,"Opening Weekend:         $3,107,897        

      (USA)
      (2 July 1982)","Production Co:

Universal Pictures,        
Turman-Foster Company 
See more »","Language:
English
|
Norwegian","Also Known As: John Carpenter's The Thing
      
See more »","Gross:        $13,782,838        

      (USA)","Release Date: 25 June 1982 (USA)
    
See more »","Budget:        $15,000,000        

      (estimated)","Production Co:

Universal Pictures,        
Turman-Foster Company 
See more »","Runtime:
109 min",tt0084787
165,"Budget:        $25,000,000        

      (estimated)","Gross:        $74,273,505        

      (USA)
(4 April 2008)","Country:
USA","Release Date: 21 November 2007 (USA)
    
See more »","Opening Weekend:         $1,226,333        

      (USA)
      (2 November 2007)","Language:
English
|
Spanish","Filming Locations:
Santa Fe, New Mexico, USA

See more »","Gross:        $74,273,505        

      (USA)
(4 April 2008)","Show detailed
company contact information
  on 
  IMDbPro »",tt0477348
166,"Budget:        $15,000,000        

      (estimated)","Gross:        $18,352,454        

      (USA)
(21 March 2008)","Country:
USA","Release Date: 19 October 2007 (USA)
    
See more »","Opening Weekend:         $212,440        

      (USA)
      (21 September 2007)","Language:
English
|
Danish","Filming Locations:
Anchorage, Alaska, USA

See more »","Gross:        $18,352,454        

      (USA)
(21 March 2008)","Show detailed
company contact information
  on 
  IMDbPro »",tt0758758
167,"Budget:        AUD 8,240,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
Australia","Release Date: 9 April 2009 (Australia)
    
See more »","Production Co:

Melodrama Pictures 
See more »","Language:
English
|
Yiddish","Filming Locations:
Melbourne, Victoria, Australia","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital",tt0978762
168,"Budget:        $61,000,000        

      (estimated)","Gross:        $167,735,396        

      (USA)
(6 February 2015)","Country:
USA","Release Date: 3 October 2014 (USA)
    
See more »","Opening Weekend:         $37,513,109        

      (USA)
      (3 October 2014)","Language:
English","Filming Locations:
Cape Girardeau, Missouri, USA

See more »","Gross:        $167,735,396        

      (USA)
(6 February 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt2267998
169,"Budget:        $30,000,000        

      (estimated)","Gross:        $70,098,138        

      (USA)
(21 May 2004)","Country:
USA","Release Date: 10 October 2003 (USA)
    
See more »","Opening Weekend:         £162,857        

      (UK)
      (10 October 2003)","Language:
English
|
Japanese
|
French","Filming Locations:
5506 Atlas St, Los Angeles, California, USA

See more »","Gross:        $70,098,138        

      (USA)
(21 May 2004)","Show detailed
company contact information
  on 
  IMDbPro »",tt0266697
170,"Production Co:

Columbia Pictures Corporation 
See more »","Runtime:
105 min
|
65 min
            (cut TV)","Language:
English","Also Known As: Night Bus
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 23 February 1934 (USA)
    
See more »","Budget:        $325,000        

      (estimated)","Runtime:
105 min
|
65 min
            (cut TV)","Color:
 Black and White",tt0025316
171,"Opening Weekend:         $26,376        

      (USA)
      (30 April 2004)","Production Co:

HandMade Films,        
Python (Monty) Pictures 
See more »","Language:
English
|
Latin","Also Known As: Monty Python's Life of Brian
      
See more »","Gross:        $646,124        

      (USA)
(22 October 2004)","Release Date: 17 August 1979 (USA)
    
See more »","Budget:        $4,000,000        

      (estimated)","Production Co:

HandMade Films,        
Python (Monty) Pictures 
See more »","Runtime:
94 min",tt0079470
172,"Gross:        $752,045        

      (USA)
(30 October 1998)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian","Also Known As: Nights of Cabiria
      
See more »","Production Co:

Dino de Laurentiis Cinematografica,        
Les Films Marceau 
See more »","Release Date: 26 May 1957 (Italy)
    
See more »","Opening Weekend:         $38,988        

      (USA)
      (3 July 1998)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)",tt0050783
173,"Budget:        $38,000,000        

      (estimated)","Gross:        $26,903,709        

      (USA)
(15 November 2013)","Country:
UK
|
Germany
|
USA","Release Date: 27 September 2013 (USA)
    
See more »","Opening Weekend:         $187,289        

      (USA)
      (20 September 2013)","Language:
English
|
German
|
Italian
|
French
|
Spanish","Filming Locations:
Evolution Printing, Stanhope Road, Camberley, UK

See more »","Gross:        $26,903,709        

      (USA)
(15 November 2013)","Show detailed
company contact information
  on 
  IMDbPro »",tt1979320
174,"Budget:        $25,000,000        

      (estimated)","Gross:        $40,218,903        

      (USA)
(25 April 2008)","Country:
USA","Release Date: 25 January 2008 (USA)
    
See more »","Opening Weekend:         $302,845        

      (USA)
      (28 December 2007)","Language:
English
|
American Sign Language","Filming Locations:
Shafter, Texas, USA

See more »","Gross:        $40,218,903        

      (USA)
(25 April 2008)","Show detailed
company contact information
  on 
  IMDbPro »",tt0469494
175,"Budget:        $17,500,000        

      (estimated)","Gross:        $23,472,900        

      (USA)
(15 April 2005)","Country:
UK
|
South Africa
|
Italy","Release Date: 4 February 2005 (USA)
    
See more »","Opening Weekend:         $100,091        

      (USA)
      (24 December 2004)","Language:
English
|
French","Filming Locations:
Rwanda

See more »","Gross:        $23,472,900        

      (USA)
(15 April 2005)","Show detailed
company contact information
  on 
  IMDbPro »",tt0395169
176,"Budget:        $6,000,000        

      (estimated)","Production Co:

Hemdale,        
Cinema 86 
See more »","Country:
UK
|
USA","Release Date: 6 February 1987 (USA)
    
See more »","Gross:        $137,963,328        

      (USA)","Language:
English
|
Vietnamese","Filming Locations:
Luzon, Philippines

See more »","Production Co:

Hemdale,        
Cinema 86 
See more »","Runtime:
120 min",tt0091763
177,"Budget:        $150,000,000        

      (estimated)","Gross:        $341,141,156        

      (USA)
(15 July 2016)","Country:
USA","Release Date: 4 March 2016 (USA)
    
See more »","Opening Weekend:         $75,063,401        

      (USA)
      (4 March 2016)","Language:
English
|
Norwegian","Filming Locations:
Walt Disney Animation Studios - 500 S. Buena Vista Street, Burbank, California, USA

See more »","Gross:        $341,141,156        

      (USA)
(15 July 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt2948356
178,"Production Co:

Warner Bros. 
See more »","Runtime:
100 min","Language:
English","Also Known As: The Gent from Frisco
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 18 October 1941 (USA)
    
See more »","Budget:        $375,000        

      (estimated)","Runtime:
100 min","Color:
 Black and White",tt0033870
179,"Budget:        $20,000,000        

      (estimated)","Gross:        $44,988,180        

      (USA)
(29 April 2016)","Country:
USA
|
Canada","Release Date: 25 November 2015 (USA)
    
See more »","Opening Weekend:         $295,009        

      (USA)
      (6 November 2015)","Language:
English","Filming Locations:
Toronto, Ontario, Canada

See more »","Gross:        $44,988,180        

      (USA)
(29 April 2016)","Show detailed
company contact information
  on 
  IMDbPro »",tt1895587
180,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric)","Language:
French
|
English
|
Spanish
|
German
|
Italian
|
Russian","Also Known As: The Wages of Fear
      
See more »","Runtime:
131 min
|
148 min
            (director's cut)","Release Date: 16 February 1955 (USA)
    
See more »","Production Co:

Compagnie Industrielle et Commerciale Cinématographique (CICC),        
Filmsonor,        
Vera Films 
See more »","Sound Mix:
Mono
(Western Electric)",Aspect Ratio: 1.37 : 1,tt0046268
181,"Production Co:

Metro-Goldwyn-Mayer (MGM),        
United Artists 
See more »","Runtime:
121 min","Language:
English","Also Known As: Poder que mata
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 27 November 1976 (USA)
    
See more »","Budget:        $3,800,000        

      (estimated)","Runtime:
121 min","Color:
Color
(Metrocolor)",tt0074958
182,"Budget:        $150,000,000        

      (estimated)","Gross:        $153,629,485        

      (USA)
(18 September 2015)","Country:
Australia
|
USA","Release Date: 15 May 2015 (USA)
    
See more »","Opening Weekend:         $44,440,000        

      (USA)
      (15 May 2015)","Language:
English
|
Russian","Filming Locations:
Namib Desert, Namibia

See more »","Gross:        $153,629,485        

      (USA)
(18 September 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt1392190
183,"Gross:        $102,308,900        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Spanish","Also Known As: The Sundance Kid and Butch Cassidy
      
See more »","Production Co:

Twentieth Century Fox Film Corporation,        
Campanile Productions,        
Newman-Foreman Company 
See more »","Release Date: 24 October 1969 (USA)
    
See more »","Budget:        $6,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)",tt0064115
184,"Budget:        $80,000,000        

      (estimated)","Gross:        $127,968,405        

      (USA)
(4 June 2010)","Country:
USA","Release Date: 19 February 2010 (USA)
    
See more »","Opening Weekend:         $41,062,440        

      (USA)
      (19 February 2010)","Language:
English
|
German","Filming Locations:
433 So Spring st Los Angeles, California, USA

See more »","Gross:        $127,968,405        

      (USA)
(4 June 2010)","Show detailed
company contact information
  on 
  IMDbPro »",tt1130884
185,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Language:
French
|
English","Also Known As: The 400 Blows
      
See more »","Runtime:
99 min","Release Date: 16 November 1959 (USA)
    
See more »","Production Co:

Les Films du Carrosse,        
Sédif Productions 
See more »","Sound Mix:
Mono",Aspect Ratio: 2.35 : 1,tt0053198
186,"Budget:        $8,000,000        

      (estimated)","Production Co:

Columbia Pictures Corporation,        
Act III,        
Act III Communications 
See more »","Country:
USA","Release Date: 22 August 1986 (USA)
    
See more »","Gross:        $52,287,414        

      (USA)","Language:
English","Filming Locations:
380 South San Rafael Avenue, Pasadena, California, USA

See more »","Production Co:

Columbia Pictures Corporation,        
Act III,        
Act III Communications 
See more »","Runtime:
89 min",tt0092005
187,"Gross:        $25,010,410        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: En el nombre del padre
      
See more »","Production Co:

Hell's Kitchen Films,        
Universal Pictures 
See more »","Release Date: 25 February 1994 (USA)
    
See more »","Budget:        $13,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby
| DTS",tt0107207
188,"Budget:        $20,000,000        

      (estimated)","Gross:        $56,667,870        

      (USA)
(2 May 2014)","Country:
USA
|
UK","Release Date: 8 November 2013 (USA)
    
See more »","Opening Weekend:         $923,715        

      (USA)
      (18 October 2013)","Language:
English","Filming Locations:
New Orleans, Louisiana, USA

See more »","Gross:        $56,667,870        

      (USA)
(2 May 2014)","Show detailed
company contact information
  on 
  IMDbPro »",tt2024544
189,"Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
AGA Sound System","Language:
Swedish
|
English","Also Known As: Persona
      
See more »","Runtime:
85 min","Release Date: 16 March 1967 (USA)
    
See more »","Production Co:

Svensk Filmindustri (SF) 
See more »","Sound Mix:
AGA Sound System",Aspect Ratio: 1.37 : 1,tt0060827
190,"Budget:        $25,000,000        

      (estimated)","Gross:        $59,073,773        

      (USA)
(22 August 2014)","Country:
USA
|
Germany
|
UK","Release Date: 28 March 2014 (USA)
    
See more »","Opening Weekend:         $811,166        

      (USA)
      (7 March 2014)","Language:
English
|
French","Filming Locations:
Görlitz, Saxony, Germany

See more »","Gross:        $59,073,773        

      (USA)
(22 August 2014)","Show detailed
company contact information
  on 
  IMDbPro »",tt2278388
191,"Budget:        $2,000,000        

      (estimated)","Gross:        $5,383,834        

      (USA)
(6 July 2001)","Country:
Mexico","Release Date: 13 April 2001 (USA)
    
See more »","Opening Weekend:         $61,047        

      (USA)
      (30 March 2001)","Language:
Spanish","Filming Locations:
Colonia Condesa, Mexico City, Distrito Federal, Mexico

See more »","Gross:        $5,383,834        

      (USA)
(6 July 2001)","Show detailed
company contact information
  on 
  IMDbPro »",tt0245712
192,"Budget:        $30,000,000        

      (estimated)","Gross:        $100,422,786        

      (USA)
(3 June 2005)","Country:
USA","Release Date: 28 January 2005 (USA)
    
See more »","Opening Weekend:         $179,953        

      (USA)
      (17 December 2004)","Language:
English
|
Irish","Filming Locations:
Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA

See more »","Gross:        $100,422,786        

      (USA)
(3 June 2005)","Show detailed
company contact information
  on 
  IMDbPro »",tt0405159
193,"Budget:        $16,000,000        

      (estimated)","Production Co:

Act III Communications,        
Buttercup Films Ltd.,        
The Princess Bride Ltd. 
See more »","Country:
USA","Release Date: 9 October 1987 (USA)
    
See more »","Gross:        $30,857,814        

      (USA)","Language:
English","Filming Locations:
Penshurst Place, Penshurst, Kent, England, UK

See more »","Production Co:

Act III Communications,        
Buttercup Films Ltd.,        
The Princess Bride Ltd. 
See more »","Runtime:
98 min",tt0093779
194,"Budget:        $3,300,000        

      (estimated)","Gross:        $3,079,012        

      (USA)
(26 June 2015)","Country:
Argentina
|
Spain","Release Date: 21 August 2014 (Argentina)
    
See more »","Opening Weekend:         $85,100        

      (USA)
      (20 February 2015)","Language:
Spanish","Filming Locations:
Buenos Aires, Federal District, Argentina

See more »","Gross:        $3,079,012        

      (USA)
(26 June 2015)","Show detailed
company contact information
  on 
  IMDbPro »",tt3011894
195,"Budget:        $15,900,000        

      (estimated)","Production Co:

Metro-Goldwyn-Mayer (MGM) 
See more »","Country:
USA","Release Date: 26 December 1959 (UK)
    
See more »","Gross:        $70,000,000        

      (USA)","Language:
English","Filming Locations:
Anzio, Italy

See more »","Production Co:

Metro-Goldwyn-Mayer (MGM) 
See more »","Runtime:
212 min
|
219 min
            (1970)
          |
224 min
            (1962)
          |
222 min
            (1993 re-release)
          |
214 min
            (DVD edition)
          |
222 min
            (2005 DVD)",tt0052618
